psf,input_gamma1,input_gamma2,mean_gamma1_hat,std_gamma1_hat,mean_gamma2_hat,std_gamma2_hat,n,Npix
W1,-0.012,0.035,0.00129479970917743,0.3707339978385146,0.12392278649831541,0.9116966709690159,80,128
W1,-0.032,-0.005,0.06140253344122565,0.3656996049273407,0.06739211558946016,0.5229003244534544,80,128
W1,0.01,0.02,0.03632849835457093,0.4308478852761179,-0.1764904402109385,1.8959732064930832,80,128
W2,0.015,-0.024,0.007363011211898865,0.18126442125973877,-0.005324964600035928,0.21111993912615537,80,128
W2,0.05,0.01,0.031233452537619492,0.14128553038632,-0.00253185731732791,0.18120262067799486,80,128
W2,-0.04,-0.04,0.014691839305413124,0.21672160118856826,0.0026201786604700293,0.19793379322380883,80,128
